仓储功能升级,仓储
中转单明细报表升级,仓储
库存保留量明细查询,仓储
大物流生成中转单,仓储
产地增加ERP事物处理类型字段,仓储
中转产地产品维护,仓储
仓储功能升级,仓储
仓储产品产地功能升级,仓储
CIMS_LMS传送带,仓储
仓储中转关联交易升级,仓储
ESB仓储信息升级,仓储
中转按入库单入库,仓储
仓储中转关联交易取值,仓储
仓储盘点单选择产品,仓储
仓储增加单据类型账户别名修改,仓储
仓储产品产地功能升级,仓储
仓储库存现有量新增客户与中心字段,仓储
仓储中转单红冲erp事务处理,仓储
仓储单据类型对应账户别名升级,仓储
仓储中转单红冲erp事务处理,仓储
仓储产地对应ERP事物处理类型升级,仓储
商用中转产品财务分类维护,仓储
财务仓维护界面样机仓显示问题修复,仓储
CCS客户款项接口升级,仓储
产品产地增加字段,仓储
中转红冲单保存时库存校验,仓储
仓储配置文件升级,仓储
样机（修订盘点增加门店账面数据）,仓储
调拨、中转A3重发,仓储
调拨、中转A3重发,仓储
仓储中转erp事务处理类型校验,仓储
仓储工单入库修改语句,仓储
库存保留量查询新增显示字段,仓储
批量传递APS,仓储
SO接口增加客户名称修正；去掉库存事务重推功能，增加成本接口自动修复功能。,仓储
中转单车间仓、结算仓功能的校验,仓储
中转单基础数据车间仓结算仓功能的修改,仓储
基础（产品引入时增加引入跨组织中转产品表）,仓储
中转产品财务分类维护校验,仓储
仓储中转车间仓、结算仓和财务仓之间的存货类型的限制,仓储
仓库库龄报表,仓储
仓库调拨明细报表,仓储
组织间转移子库转移增加原单发送不成功，红冲单不发送,仓储
仓储库龄报表,仓储
CIMS_LMS盘点单据类型,仓储
商用中转产品接口修改,仓储
仓储销售、大物流生成中转单过程,仓储
库存批量发送,仓储
商用产品增加导出功能,仓储
调拨单明细报表升级,仓储
调拨单明细报表升级,仓储
中转产品财务分类维护升级,仓储
库存批量发送,仓储
盘点单引入盘点数程序修改,仓储
中转单工单入库冰洗事业部财务仓不需入到一个仓库,仓储
1、调拨单新增发货门店、收货门店,仓储
盘点单事务升级,仓储
跟踪查询添加主体,仓储
跟踪查询,仓储
样机模块升级,仓储
推广物料采购单红冲,仓储
仓储调拨版本限制问题,仓储
中转工单打印，工单界面功能修改,仓储
中转工单打印，工单界面功能修改,仓储
物料生成中转单红冲处理,仓储
